file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0053_0111_1017254_to_1024818,ག་གམ་སི་དཀའ་ལས་བརྒྱབ་ཀྱི་འདུག ད་ཨོ་འདི་ཡིན་དུས་སྐབས་སུ་ཡོད་བ། ད་རྒྱུ་མཚན་མང་པོ་ཅིག་ལ་སོ་སོ་ཏོག་ཙི་ཆེན་པོ་ཆགས་བསྡད་ཡོད་རཱ། ཆེན་པོ་ཆགས་དུས་སྐབས་སུ་བསམ་བློ་ཨེ་འདྲའི་བཏང་ན་ཡག་པོ་ཡོད་རེད་ཡོད་བ།  ,ga gam si dka' las brgyab kyi 'dug_da o 'di yin dus skabs su yod ba/_da rgyu mtshan mang po cig la so so tog tsi chen po chags bsdad yod rA/_chen po chags dus skabs su bsam blo e 'dra'i btang na yag po yod red yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0053_0111_1017254_to_1024818.wav,STT_NS,3,190,7.564,wav16k/STT_NS_M0053_0111_1017254_to_1024818.wav,དི་གམ་སི་དཀའ་ལས་རྒྱབ་ད་ཨོ་ཨེ་འདྲའི་ཡིན་དུས་སྐབས་སུ་ཡོད་བ། ད་རྒྱུ་མཚན་མང་པོ་ཞིག་ལ་སོ་སོ་ཏོག་ཙི་ཆེན་པོ་ཆགས་བསྡད་ཡོད་རཱ། ཆེན་པོ་ཆགས་དུས་སྐབས་སུ་བསམ་བློ་ཨེ་འདྲའི་བཏང་ན་ཡག་པོ་ཡོད་རེད་ཡོད་བ།
STT_NS0165_0176_1411841_to_1420883,ཡིག་ཚད་བཏང་དུས་པེ་ཡང་སྦྱང་དུས་ཙམ་པ་མང་པོ་མང་པོ་འདྲ་བོ་ཅིག་མི་འདུག་གེ། འོ། ང་ཚོ་བོད་ཡིག་སྡེ་ཚན་འདྲ་བོ་ཡིན་ན་ད་ལོ་རྒྱུས་དེ་ཚོ་ག་འདྲ་ཁག་པོ་འདུག་རཱ། འོ། ལོ་རྒྱུས་དེ་ཚོ་ད་ག་རེ་ཀུ་ཅིག་སྦྱང་ཡ་མེད་རྒྱོ་འདྲ་བོ་ཅིག་ཡོད་རེད་ད་རཱ། འོ།  ,yig tshad btang dus pe yang sbyang dus tsam pa mang po mang po 'dra bo cig mi 'dug ge/_'o/_nga tsho bod yig sde tshan 'dra bo yin na da lo rgyus de tsho ga 'dra khag po 'dug rA/_'o/_lo rgyus de tsho da ga re ku cig sbyang ya med rgyo 'dra bo cig yod red da rA/_'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0165_0176_1411841_to_1420883.wav,STT_NS,3,224,9.042,wav16k/STT_NS0165_0176_1411841_to_1420883.wav,ཡིག་ཚད་གྲང་དུས་པེ་ཡང་སྦྱང་དུས་ཙམ་པ་མང་པོ་མང་པོ་འདྲ་བོ་ཅིག་མི་འདུག་བེ། ད་ང་ཚོ་བོད་ཡིག་སྡེ་ཚན་འདྲོ་བོ་ཡོད་ན་ད་ལ་ལོ་རྒྱུས་དེ་ཚོ་ག་འདྲའི་ཁག་པོ་འདུག་རཱ། ལོ་རྒྱུས་དེ་ཚོ་ད་ག་རེ་ཀུ་ཅི་སྦྱང་ཡ་མེད་རྒྱོ་འདྲ་བོ་ཅིག་ཡོད་རེད་ད་རཱ།
STT_TT00289_1284.000-1285.950,ད་གཞུག་གུ་དེ་དངོས་གནས་དཔེ་ན་མི་དགོས་པ་ཚ།  ,da gzhug gu de dngos gnas dpe na mi dgos pa tsha/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00289_1284.000-1285.950.wav,STT_TT,3,42,1.9500000000000453,wav16k/STT_TT00289_1284.000-1285.950.wav,ད་གཞུག་གུ་དེ་དངོས་གནས་དཔེ་ན་མ་དགོས་པ་ཚམ།
STT_TT00038_04605.300-04606.600,ད་དེ་ཚོའི་ཁྱད་པར་གསུང་གི་ཡོད་རེད།  ,da de tsho'i khyad par gsung gi yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00038_04605.300-04606.600.wav,STT_TT,3,35,1.300000000000182,wav16k/STT_TT00038_04605.300-04606.600.wav,ད་དེ་ཚོའི་ཁྱད་པར་གསུང་གི་ཡོད་རེད།
STT_TT00036_05093.550-05094.550,ཨེ་ནས། བརྩོན་འགྲུས་དང་ལྡན་པ།  ,e nas/_brtson 'grus dang ldan pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00036_05093.550-05094.550.wav,STT_TT,3,30,1.0,wav16k/STT_TT00036_05093.550-05094.550.wav,ཨེ་ནས་ བརྩོན་འགྲུས་དང་ལྡན་པ།
STT_NS_M0053_0204_1826049_to_1835282,མི་ཡིན་པ་གཅིག་པ་བལྟ་ནས་ཡོད་བ། ཨེ་ནས་གལ་སྲིད་ལྟབ་ཐུབ་ན་ཨེ་ནས་ཁོ་ཚོ་ལ་གུས་ཞབས་བྱེད་ཐུབ་ན་སོ་སོ་ལ་ཁེ་ཕན་ཆེན་པོ་ཞིག་དང་། ཨེ་ནས་སོ་སོ་དངོས་གནས་ཁོ་རང་མི་རྒྱུ་དག་ཡོད་པ་འདྲ་བོ་ཅིག་རེད་ཟེ།  ,mi yin pa gcig pa blta nas yod ba/_e nas gal srid ltab thub na e nas kho tsho la gus zhabs byed thub na so so la khe phan chen po zhig dang /_e nas so so dngos gnas kho rang mi rgyu dag yod pa 'dra bo cig red ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0053_0204_1826049_to_1835282.wav,STT_NS,3,181,9.233,wav16k/STT_NS_M0053_0204_1826049_to_1835282.wav,མི་ཡིན་པ་གཅིག་པ་བལྟ་ནས་ཡོད་བ། ཨེ་ནས་གལ་སྲིད་ལྟ་ཐུབ་ན་ཨ་ནས་ཁོ་ཚོ་ལ་གུས་ཞབས་བྱེད་ཐུབ་ན་སོ་སོ་ལ་ཁེ་ཕན་ཆེན་པོ་ཞིག་དང་ཨ་ནས་སོ་སོ་དངོས་གནས་ཁོ་རང་མི་རྒྱུ་དའ་ཡོད་པ་འདྲ་བོ་ཅིག་རེད་ཟེ།
STT_TT00036_05151.200-05152.300,སྤང་བྱའི་ཕྱོགས་དང་།  ,spang bya'i phyogs dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00036_05151.200-05152.300.wav,STT_TT,3,21,1.1000000000003638,wav16k/STT_TT00036_05151.200-05152.300.wav,སྤང་བྱའི་ཕྱོགས་དང་།
STT_TT00038_03567.350-03568.800,དེ་ཡི་གནས་སྐབས་མི་འགྱུར་བ།  ,de yi gnas skabs mi 'gyur ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00038_03567.350-03568.800.wav,STT_TT,3,28,1.4500000000002728,wav16k/STT_TT00038_03567.350-03568.800.wav,དེ་ཡི་གནས་སྐབས་མི་འགྱུར་བ།
STT_TT00037_00798.400-00800.450,ད་དེ་འདྲའི་ཡིན་པ་ཡིན་དུས། ཨོ་ད་གང་ལྟར།  ,da de 'dra'i yin pa yin dus/_o da gang ltar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00037_00798.400-00800.450.wav,STT_TT,3,40,2.050000000000068,wav16k/STT_TT00037_00798.400-00800.450.wav,ཟ་དེ་འདྲའི་ཡིན་པ་ཡིན་དུས། ཨོ་ད་གང་ལྟར།
STT_TT00039_03412.300-03413.250,མ་རིག་པ་ཡིན་པ།  ,ma rig pa yin pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00039_03412.300-03413.250.wav,STT_TT,3,16,0.949999999999818,wav16k/STT_TT00039_03412.300-03413.250.wav,མ་རིག་པ་ཡིན་པ།
